"Timestamp","First.name","Last.name","Sexe","Age","Address","Phone.number","E.mail","Where.are.you.from..","What.level.of.education.are.you.currently.completing..","What.school.are.you.currently.studying.at..","What.s.your.work.status..","What.field.do.you.work.in..","How.did.you.find.out.about.our.event..","Comments.if.needed"
"03/09/2020 12:53","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","Phd","FST","Studying","Biology","Facebook",""
"03/09/2020 13:14","NA","NA","Female","Between 20 and 30","NA","NA","NA","Germany","Master's degree","University of Applied Sciences Mittweida","Studying","Science, Engineering, Technology, & Mathematics","A friend",""
"03/09/2020 14:19","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","Engineering degree","ESSAI","Unemployed - Looking for work","Science, Engineering, Technology, & Mathematics","Facebook",""
"03/09/2020 14:28","NA","NA","Female","Between 20 and 30","NA","NA","NA","USA","Doctorate degree","UCL","Studying","Biology","posted on r-ladies slack workspace",""
"03/09/2020 17:17","NA","NA","Female","Between 20 and 30","NA","NA","NA","USA","Doctorate degree","University of Virginia","Studying","Science, Engineering, Technology, & Mathematics","Slack",""
"03/09/2020 17:50","NA","NA","Male","Between 20 and 30","NA","NA","NA","Taiwan","Master's degree","None","Employed","Biology","A friend",""
"03/09/2020 17:55","NA","NA","Female","Between 20 and 30","NA","NA","NA","Croatia","Doctorate degree","TUM","Unemployed - Looking for work","Biology","Slack",""
"03/09/2020 18:11","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","College degree","FPHM","Studying","Pharmacy","Facebook",""
"03/09/2020 20:42","NA","NA","Female","Between 31 and 40","NA","NA","NA","Tunisia","Enseignante","Fst","Employed","Biology","Facebook",""
"03/09/2020 20:58","NA","NA","Female","Between 31 and 40","NA","NA","NA","Tunisia","Doctorate degree","CBBC","Post-doc","Biology","Facebook",""
"03/09/2020 21:00","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","Doctorate degree","FST","Studying","Biology","Facebook",""
"03/09/2020 21:00","NA","NA","Female","Between 31 and 40","NA","NA","NA","Tunisia","Doctorate degree","CBBC","Employed","Biology","Facebook",""
"03/09/2020 21:22","NA","NA","Female","Between 31 and 40","NA","NA","NA","Tunisia","Doctorate degree","None","Employed","Biology","Facebook",""
"03/09/2020 21:40","NA","NA","Female","Between 31 and 40","NA","NA","NA","Algeria","Master's degree","Universit? mentouri Constantine","Employed","Biology","Facebook","/"
"03/09/2020 22:03","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","Master's degree","ISSBAT","Studying","Biology","A friend",""
